,ID,Count
0,18288,482.43962701121774
1,18289,385.0120623013182
2,18290,325.83879130275005
3,18291,269.22895235700315
4,18292,226.61082280993242
5,18293,202.85406622676328
6,18294,218.12320497617674
7,18295,252.96530485131143
8,18296,291.3053320761155
9,18297,376.4301376027431
10,18298,534.2998293106004
11,18299,592.3414179313347
12,18300,598.6171111175058
13,18301,529.430165745375
14,18302,566.0898161061226
15,18303,558.9396410825343
16,18304,544.6735844407469
17,18305,557.3621444346443
18,18306,571.079506590209
19,18307,605.9730465734274
20,18308,582.3191702064244
21,18309,543.5333287115648
22,18310,545.5051995214274
23,18311,532.6108790951968
24,18312,367.2774196664016
25,18313,293.1065958625741
26,18314,248.0584591242761
27,18315,204.96184265325593
28,18316,172.51700235680863
29,18317,154.4311740603982
30,18318,166.05544695679205
31,18319,192.58045821504214
32,18320,221.7684135169357
33,18321,286.57324540255746
34,18322,406.7581758428672
35,18323,450.944771861163
36,18324,455.7224067629937
37,18325,403.05094001740315
38,18326,430.95963788656627
39,18327,425.51626697382494
40,18328,414.65563244288785
41,18329,424.31533142473074
42,18330,434.7582492429395
43,18331,461.32242144300807
44,18332,443.3149150302338
45,18333,413.7875648992487
46,18334,415.28873433561625
47,18335,405.47239158650046
48,18336,361.6709565465956
49,18337,288.6323449778668
50,18338,244.2718647730651
51,18339,201.8331150204853
52,18340,169.88354285327733
53,18341,152.07379341144792
54,18342,163.520622626857
55,18343,189.6407315159201
56,18344,218.38313480132635
57,18345,282.19872563781973
58,18346,400.5490418492392
59,18347,444.0611326905183
60,18348,448.76583734278086
61,18349,396.89839670923243
62,18350,424.3810703336506
63,18351,419.0207920823024
64,18352,408.3259443481978
65,18353,417.8381887270888
66,18354,428.12169616372785
67,18355,454.2803682056784
68,18356,436.54774506962343
69,18357,407.47112779252666
70,18358,408.9493819865436
71,18359,399.28288499610323
72,18360,510.7169921872354
73,18361,407.5788791076268
74,18362,344.9372690693076
75,18363,285.0093422244769
76,18364,239.89322464979062
77,18365,214.74400682652433
78,18366,230.90811976165162
79,18367,267.79242912063864
80,18368,308.379690797162
81,18369,398.49393972073096
82,18370,565.6168906401178
83,18371,627.060486693352
84,18372,633.704018792461
85,18373,560.4618001588422
86,18374,599.2701925847847
87,18375,591.7009224062917
88,18376,576.5986855033993
89,18377,590.0309635179909
90,18378,604.5523451553872
91,18379,641.4911096955148
92,18380,616.4508022345285
93,18381,575.39159565479
94,18382,577.4790442651658
95,18383,563.8289455260136
96,18384,504.48828770568696
97,18385,402.60804706225116
98,18386,340.7304141054583
99,18387,281.5333682616878
100,18388,236.9674868609029
101,18389,212.12498890041687
102,18390,228.09196431276843
103,18391,264.5264326315753
104,18392,304.61869206112897
105,18393,393.63390759691526
106,18394,558.7186269922186
107,18395,619.4128569425937
108,18396,625.975364523639
109,18397,553.6264079949051
110,18398,591.9614932634141
111,18399,584.4845379046825
112,18400,569.5664878843835
113,18401,582.83494583513
114,18402,597.1792247008019
115,18403,633.6674840653554
116,18404,608.9325681963614
117,18405,568.3741197036738
118,18406,570.4361097906142
119,18407,556.952487656883
120,18408,519.6709981262027
121,18409,414.7246442964799
122,18410,350.9847873682198
123,18411,290.0061905416042
124,18412,244.0990869788136
125,18413,218.50894737461044
126,18414,234.95645319744926
127,18415,272.48742661913104
128,18416,313.78627335676947
129,18417,405.48042569532277
130,18418,575.5334140287014
131,18419,638.0542531194463
132,18420,644.8142611274857
133,18421,570.2879433339388
134,18422,609.7767332825396
135,18423,602.0747569455114
136,18424,586.7077442059251
137,18425,600.3755199598838
138,18426,615.1514937479474
139,18427,652.7378770713348
140,18428,627.2585572705416
141,18429,585.4794913847915
142,18430,587.6035376168256
143,18431,573.7141222560464
144,18432,503.69971045042325
145,18433,401.97872115630537
146,18434,340.1978105519405
147,18435,281.0932969731776
148,18436,236.59707752746658
149,18437,211.7934114473888
150,18438,227.73542851293155
151,18439,264.112945275629
152,18440,304.14253557158975
153,18441,393.01860937494234
154,18442,557.8452810452949
155,18443,618.444638447722
156,18444,624.9968880221056
157,18445,552.7610218127132
158,18446,591.0361846270087
159,18447,583.5709166693093
160,18448,568.6761853963939
161,18449,581.9239031150926
162,18450,596.2457601082805
163,18451,632.6769838347026
164,18452,607.9807316820732
165,18453,567.4856810338342
166,18454,569.5444479766052
167,18455,556.0819024030089
168,18456,491.0015099660103
169,18457,391.8448928339777
170,18458,331.62147049630715
171,18459,274.006973583001
172,18460,230.6324977150553
173,18461,206.45412864845338
174,18462,221.9942496544507
175,18463,257.4546942183876
176,18464,296.47514404366495
177,18465,383.11066423936654
178,18466,543.7820781666146
179,18467,602.8537340962048
180,18468,609.2408023591975
181,18469,538.8259924106313
182,18470,576.136243629971
183,18471,568.8591740516433
184,18472,554.3399369073542
185,18473,567.2536814828034
186,18474,581.2144864292352
187,18475,616.7272840117215
188,18476,592.6536209822173
189,18477,553.1794449961812
190,18478,555.1863107072309
191,18479,542.0631540575854
192,18480,375.8393070365612
193,18481,299.9394299189276
194,18482,253.84114129996357
195,18483,209.7398663432815
196,18484,176.53867933591116
197,18485,158.03123833864217
198,18486,169.92649363136553
199,18487,197.06984989729844
200,18488,226.93822815055955
201,18489,293.25377548433164
202,18490,416.2404295888814
203,18491,461.45709344723946
204,18492,466.34610348332797
205,18493,412.44677152809163
206,18494,441.006070591362
207,18495,435.4358050584416
208,18496,424.3219898944376
209,18497,434.20687357396025
210,18498,444.8932343085795
211,18499,472.0766644272674
212,18500,453.64937113550775
213,18501,423.4336861583718
214,18502,424.96985051397337
215,18503,414.9246714234316
216,18504,370.2328401013131
217,18505,295.46517598929796
218,18506,250.05454437181032
219,18507,206.61113658127562
220,18508,173.90521804019613
221,18509,155.67385608539183
222,18510,167.39166757637227
223,18511,194.13012119756448
224,18512,223.5529471311208
225,18513,288.8792527425428
226,18514,410.03129136966766
227,18515,454.57344959197894
228,18516,459.38952932886696
229,18517,406.2942240328475
230,18518,434.42749856144485
231,18519,428.94032574646593
232,18520,417.9922974921195
233,18521,427.7297264683409
234,18522,438.2566767129048
235,18523,465.0346063975143
236,18524,446.8821965695439
237,18525,417.1172447530396
238,18526,418.63049385069564
239,18527,408.73516062080597
240,18528,519.2788791051753
241,18529,414.41171280308527
242,18530,350.71995093956673
243,18531,289.787365662138
244,18532,243.91490141647716
245,18533,218.34407091462094
246,18534,234.77916623176506
247,18535,272.2818205657753
248,18536,313.5495051577278
249,18537,405.17446944965434
250,18538,575.0991438853006
251,18539,637.5728077241911
252,18540,644.3277149516754
253,18541,569.8576311732637
254,18542,609.3166247589502
255,18543,601.6204599669804
256,18544,586.2650424443937
257,18545,599.9225051447712
258,18546,614.6873296857201
259,18547,652.2453521117592
260,18548,626.7852577939595
261,18549,585.0377164044265
262,18550,587.160159932188
263,18551,573.2812248636965
264,18552,513.0501717148168
265,18553,409.4408784363271
266,18554,346.5130940111127
267,18555,286.3113900760663
